"entrezgene_id"	"V2"
8498	230588.745781
5926	114226.296221
7260	104084.663068
10908	299271.603334
8100	74650.425091
56052	91131.6209286
55596	68936.2786356
10061	356056.35274
54480	490851.138671
57554	2080.9458196
2530	117365.983151
55236	79478.8786595
9846	174245.829537
535	251548.779407
8554	115953.042117
9497	28536.8306301
321	10103.521463
5606	366065.975735
79645	50.022588325
9168	33773198.2905
28990	54144.5984885
25897	142622.305017
8504	235754.972956
11345	881192.821346
4653	415.820227055
26751	89181.9864221
84908	267421.6325
7414	794479.503748
55789	195545.671034
23604	786900.423615
8439	167917.065926
159	653713.973404
26228	1930.02560574
7077	1294214.18959
5981	288564.350721
55773	199243.705506
8452	191820.647694
9172	11883.3397325
5009	0
10858	1148.85603437
26009	152153.520323
6570	222.79881731
9099	16829.0515502
846	0
27175	157342.153712
51121	234749.689724
2324	18895.111628
54888	218550.559924
54455	91923.8557597
4238	69747.2193523
84245	71671.0358271
4234	99046.4425612
3224	1844.66569758
175	276594.806384
55300	121894.449742
259282	103317.824064
27430	643932.683479
7092	4362.27959992
23644	154951.470354
7204	62738.9162562
1462	229097.805022
23274	157743.972847
4481	57726.8161133
999	2847963.30395
23517	255286.416416
1767	4476.89261351
9765	68332.4225405
79567	181504.385897
729	245.099071726
26064	109171.517095
11063	418.29606054
11284	164561.328358
54831	109.74343357
23035	41210.7368148
54908	24558.0855331
27067	97331.5707584
54896	156325.803082
1497	129722.939404
65078	127840.746955
79142	480490.507247
1008	0
3631	93872.3543522
5874	15511.4782986
5685	241071.12283
23026	94.5969568553
55341	204315.486617
10039	231670.187339
3371	649409.843155
90326	66605.1009238
140876	2271.24527969
55775	35114.3387339
84883	103315.738226
56918	0
55812	42974.0402147
9440	89138.6225866
54884	641738.661519
822	2990246.14033
1175	501861.745184
7399	56.6431532677
11055	219.736000928
7038	26773807.5286
10863	8912.34979576
8538	79.3391052532
54165	72940.4799815
23338	254748.653446
7546	0
3937	45577.4902516
54802	130960.46992
153	2748.08635861
2981	0
9820	491501.52788
1495	1648726.80784
5256	97126.03812
54875	19631.6957402
2042	35677.6330066
3309	3385600.20211
1829	1084261.54239
54960	145430.151001
8481	197068.397051
2824	16680.9245505
51438	0
80243	11029.5700244
22884	116902.019473
64848	68756.1077761
56474	100553.028481
51606	319590.38576
5431	398296.022299
56204	95277.614929
116984	112993.492243
7175	342696.753051
1356	13054.4146209
23247	99662.6960867
84062	182106.642754
7504	6916.492418
57101	928.476819271
57102	72786.3602006
6322	13576.1231914
55841	291646.49139
395	96523.6435282
27146	964.721346269
4134	500486.37279
57120	262971.372237
6098	258.740819321
57646	94339.5927035
9734	18292.2679468
26262	155630.919465
51491	78327.8227376
57545	38620.2289765
50484	683609.927287
168850	83009.0011006
608	2597.32670149
92017	65360.1700701
55885	1094415.579
55173	355338.41959
2978	992.331910216
51773	123310.510865
55187	223177.103137
10659	130445.683885
23196	742398.606945
23518	70297.380531
1298	42112.6083803
4254	12788.3078328
1161	27797.9868177
11174	1694.76552601
9563	395305.878983
9341	1108077.54018
8863	126743.706344
10911	324.267029846
3604	4082.12291031
55040	32028.2499173
4052	70168.5049498
5954	293797.373759
2006	59168.1504016
5982	188465.361692
57492	163732.714788
81037	588600.813694
23327	139750.419945
50943	23256.8184919
89801	36393.3209906
3074	975043.312534
79810	22962.0402779
340533	2593.35018702
51528	215616.329766
27122	197567.07512
7984	70723.6257213
9603	261609.542803
63933	267992.486382
51474	494020.255313
25875	311803.472827
9498	807.51147171
10319	4206.2053957
5733	4000.90020255
79931	1155.97581699
5601	180941.002654
91522	120411.805135
9564	189548.193641
84067	145190.562613
9709	470524.449858
9454	230896.271696
5888	9056.53542237
10721	1297.4475808
5291	360294.542638
1535	611902.317502
84321	49195.7597039
23593	111318.372649
10198	18825.1738792
54477	119130.718042
5652	1173101.15706
80143	74196.4666766
23223	118072.662948
57600	91832.8972584
6307	403742.221486
55761	196478.18957
60529	101.002130514
23105	18024.8456111
1112	107830.279167
728464	2127.93383763
8574	535273.011858
51154	246031.633741
4826	22836.4493239
55850	169020.687863
23101	3162.45488384
83714	33876.071334
3909	1481.75548297
55745	76371.5281017
29945	56882.7717952
3784	481165.400149
27095	620116.4262
9967	1161769.75524
29085	1092171.68874
954	46099.2443391
4065	125189.316661
51742	153438.08938
